n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q(m^2/s)
 25476.50000   677.54000     0.00000   258.84570
 25552.30000   677.54000     0.00000   291.85860
 25628.10000   677.54000     0.00000   244.83840
 25703.90000   677.54000     0.00000   266.60640
 25779.70000   677.54000     0.00000   291.05440
 23385.40000   677.54000     0.00000   392.95980
 23363.60000   687.27100     0.00000   391.83530
 23353.80000   691.60300     0.00000   391.83530
 23311.10000   710.62500     0.00000   180.52130
 23278.00000   725.35600     0.00000   248.28890
 23258.60000   733.97900     0.00000   248.46800
 23278.00000   753.34900     0.00000   307.64190
 23353.80000   753.34900     0.00000   208.14440
 23429.60000   753.34900     0.00000   218.52630
 23505.40000   753.34900     0.00000   221.64630
 23581.20000   753.34900     0.00000   236.91600
 23657.10000   753.34900     0.00000   220.53230
 23732.90000   753.34900     0.00000   224.62760
 23808.70000   753.34900     0.00000   222.33920
 23884.50000   753.34900     0.00000   296.30910
 23960.30000   753.34900     0.00000   222.20580
 24036.10000   753.34900     0.00000   229.76370
 24111.90000   753.34900     0.00000   244.41900
 24187.70000   753.34900     0.00000   269.15770
 24263.50000   753.34900     0.00000   318.27260
 24339.30000   753.34900     0.00000   223.85250
 24415.10000   753.34900     0.00000   236.58250
 24491.00000   753.34900     0.00000   296.13460
 24566.80000   753.34900     0.00000   244.03810
 24642.60000   753.34900     0.00000   249.83350
 24718.40000   753.34900     0.00000   247.42140
 24794.20000   753.34900     0.00000   243.71480
 24870.00000   753.34900     0.00000   265.12670
 24945.80000   753.34900     0.00000   440.89300
 25021.60000   753.34900     0.00000   245.46250
 25097.40000   753.34900     0.00000   273.25190
 25173.20000   753.34900     0.00000   230.01870
 25249.00000   753.34900     0.00000   240.45750
 25324.80000   753.34900     0.00000   267.13680
 25400.70000   753.34900     0.00000   256.83610
 25476.50000   753.34900     0.00000   290.76840
 25552.30000   753.34900     0.00000   249.53070
 25628.10000   753.34900     0.00000   418.14720
 25703.90000   753.34900     0.00000   295.35070
 25779.70000   753.34900     0.00000   258.01360
 23215.10000   753.34900     0.00000   172.07180
 23206.20000   757.33400     0.00000   172.07180
 23202.20000   759.10800     0.00000     0.00000
 23153.70000   780.68800     0.00000   395.02730
 23126.40000   792.86000     0.00000   264.55810
 23101.30000   804.04200     0.00000   332.78270
 23050.60000   826.61300     0.00000   539.68880
 23048.80000   827.39700     0.00000   539.68880
 23050.60000   829.15800     0.00000   539.68880
 23126.40000   829.15800     0.00000   464.25810
 23202.20000   829.15800     0.00000   274.56770
 23278.00000   829.15800     0.00000   253.01580
 23353.80000   829.15800     0.00000   221.64530
 23429.60000   829.15800     0.00000   209.51420
 23505.40000   829.15800     0.00000   274.10560
 23581.20000   829.15800     0.00000   224.63110
 23657.10000   829.15800     0.00000   249.39730
 23732.90000   829.15800     0.00000   256.30910
 23808.70000   829.15800     0.00000   240.43390
 23884.50000   829.15800     0.00000   229.76370
 23960.30000   829.15800     0.00000   279.28230
 24036.10000   829.15800     0.00000   225.17940
 24111.90000   829.15800     0.00000   406.70950
 24187.70000   829.15800     0.00000   248.33510
 24263.50000   829.15800     0.00000   224.36640
 24339.30000   829.15800     0.00000   412.27570
 24415.10000   829.15800     0.00000   292.92430
 24491.00000   829.15800     0.00000   235.30750
 24566.80000   829.15800     0.00000   255.92340
